行业代码,行业名称,平均劳动报酬,平均教育经费
140000,水利环境和公共设施管理业,24820,890
148100,公共设施管理业,24820,890
148120,城市绿化管理,30953,71
148130,游览景区管理,32718,2564
150000,居民服务和其他服务业,41254,295
158200,居民服务业,20933,277
158210,家庭服务,13994,443
158240,理发及美容保健服务,17526,0
158280,摄影扩印服务,37463,230
158290,其他居民服务,29807,0
158300,其他服务业,43237,330
158310,汽车修理与维护,43581,95
158320,清洁服务,14051,63
158330,其他修理与维护,85434,62
158390,其他未列明的服务,55866,753
158400,劳务服务业,45464,2
180000,文化体育和娱乐业,36011,276
189000,文化艺术业,48055,551
189090,其他文化艺术,54679,551
189200,娱乐业,20496,0
